expression_1_TEXT,expression_2_TEXT,expression_3_TEXT,expression_4_TEXT,expression_5_TEXT,expression_6_TEXT,expression_7_TEXT,expression_8_TEXT,expression_9_TEXT,expression_10_TEXT,suppression_1_TEXT,suppression_2_TEXT,suppression_3_TEXT,suppression_4_TEXT,suppression_5_TEXT,suppression_6_TEXT,suppression_7_TEXT,suppression_8_TEXT,suppression_9_TEXT,suppression_10_TEXT,nowill_auth_gen,nowill_true_honest,nowill_pc,nowill_careful_polite,lazy_auth_gen,lazy_true_honest,lazy_pc,lazy_careful_polite,enviro_auth_gen,enviro_true_honest,enviro_pc,enviro_careful_polite,genes_auth_gen,genes_true_honest,genes_pc,genes_careful_polite,age,gender,gender_TEXT,race,conserv,democrat,prej_1,prej_2,prej_3,prej_4,prej_5,prej_6,prej_7,filler_1,filler_2,filler_3,cond
Overabundance of high sugar foods,Rarely cook at home,Lack of nutritional understanding,Too much fast food,Pre-produced food is unhealthy,Lack of exercise,Less physical jobs,Sugar substitutes,Cheap food is not healthy,Too busy to care about health,,,,,,,,,,,5,5,5,3,6,6,2,2,5,5,3,5,5,5,5,3,37,1,,Caucasian,4,4,2,2,2,1,2,2,2,5,2,6,Expression
Genes ,Over Eat ,Lazy ,Unable To Walk ,Don't Like Exercising ,Medical Condition ,,,,,,,,,,,,,,,6,6,5,2,5,5,5,2,5,5,5,2,6,6,6,6,30,0,,African American ,2,7,1,1,1,1,1,1,2,4,5,5,Expression
They are lazy,The eat too much,Lack of discipline ,No willpower,pigs,mental condition,They like being fat,They like to listen to doctors bitch at them.,Prefer the extra layers for winter,They love food,,,,,,,,,,,7,7,3,3,7,7,2,2,3,3,7,7,5,5,7,7,42,1,,white,5,1,4,6,4,2,6,5,6,5,6,3,Expression
Lazy,no self contol,bad genes,like to eat,no exercising,pig,loser,,,,,,,,,,,,,,5,4,5,5,5,4,5,6,5,4,5,5,6,5,5,5,33,1,,White,3,4,4,4,3,2,3,5,5,5,6,6,Expression
overeating,stress,no exercise,not watcing what they eat,not enough water,eating when actually thirsty,cheap unhealthy food,no timwe,na,na,,,,,,,,,,,5,5,2,2,6,6,3,1,7,7,7,3,6,6,6,2,25,0,,white,2,6,3,2,2,3,3,2,5,6,7,7,Expression
 Food Addiction,Junk Foods,Genetical reasons,lack of excercises,Certain Medications,Sugar intake,,,,,,,,,,,,,,,6,5,6,4,6,4,6,5,6,5,6,5,6,6,6,5,40,0,,Asian,3,5,3,5,2,5,3,5,5,6,5,6,Expression
they eat too much,eat badly,don't exercise,have no willpower,,,,,,,,,,,,,,,,,5,4,3,4,5,5,4,3,5,5,5,4,5,5,3,5,37,1,,white,4,5,3,3,3,3,3,3,4,5,4,5,Expression
they don't know how to balance calories,they have a disorder like PCOS,they don't know any better,they don't know how to lose weight,,,,,,,,,,,,,,,,,5,5,1,1,5,5,1,1,6,6,7,7,5,5,6,6,23,0,,white,1,7,1,1,1,1,1,1,1,1,1,1,Expression
They eat their feelings.,They have glandular issues.,They don't exercise.,They are lazy.,They eat too much junk food.,They inherited weight issues genetically.,They don't care about their appearance.,They have had babies.,They don't care about their health.,They are using their weight to hide from the world.,,,,,,,,,,,7,6,2,2,5,4,1,1,6,5,3,2,6,6,7,5,40,0,,caucasian,3,5,1,2,1,1,1,1,1,3,3,5,Expression
They don't get adequate exercise.,They don't control their portion size.,They have a disability.,They eat unhealthy food.,They have sedentary and long jobs.,They are depressed.,They have mental illnesses.,They chose to gain weight.,They don't have a good metabolism.,,,,,,,,,,,,6,7,4,2,5,5,3,2,7,7,6,4,6,4,6,7,27,1,,White,5,3,2,6,2,1,1,2,2,6,7,5,Expression
Health issues,Depression,No motivation,Stress,Comforts them,Love to eat,Hereditary ,After delivery of a baby,Doesn't like to exercise ,Likes unhealthy food,,,,,,,,,,,6,6,4,2,7,7,4,1,1,1,1,1,5,4,4,3,28,0,,African American,4,4,4,6,1,1,1,1,1,5,4,5,Expression
overeating,genetics,lack of exercise,eating unhealthy food,drinking a lot,laziness,disease,,,,,,,,,,,,,,7,6,3,3,5,6,3,2,6,6,4,3,6,6,6,3,25,0,,white,2,6,2,3,3,2,2,2,3,6,6,5,Expression
eating too much,lack of exercise,lack of hope,lack of a goal,drinking too much alcohol,,,,,,,,,,,,,,,,6,6,2,2,6,6,2,2,5,5,5,5,5,5,5,5,48,1,,White Caucasian,4,4,3,5,3,3,3,3,3,3,2,5,Expression
 They have inherited “fat genes” from their parents,Lack of exercise is relevant,Improper eating habits,Too much TV, Certain drugs,Sugar,Lack of sleep.,The bacteria that live in the intestine. ,The greater availability of food.,Insulin,,,,,,,,,,,3,5,3,3,3,3,3,3,6,6,6,6,6,6,6,2,46,1,,White,5,3,3,5,3,3,3,3,3,5,6,5,Expression
They eat too much,They eat unhealthy,They let it go to long before doing something about it,They are depressed about situations in their lives,It is a genetic thing,They are just born to be this way,Food is a means to solving problems,They don't like exercising or the idea of moving around.,It is hard for them to change old habits, Eating  food is an obsessive compulsive disorder,,,,,,,,,,,6,6,5,7,6,6,5,5,6,6,5,5,6,6,6,5,43,0,,Black,2,7,2,2,3,6,3,3,2,5,5,3,Expression
they eat too much,they eat the wrong foods,they don't know anything about nutrition,they don't care,they're lazy,not enough exercise,,,,,,,,,,,,,,,5,5,4,4,5,5,3,4,5,5,3,4,4,4,4,4,59,1,,white,6,2,4,4,2,2,2,4,2,5,5,4,Expression
,,,,,,,,,,Genetics,,,,,,,,,,5,5,4,3,6,6,3,2,6,6,5,4,6,6,6,5,23,0,,White,5,4,4,3,4,4,5,5,4,6,6,6,Suppression
,,,,,,,,,,Health problems,Thyroid problems,Some people retain weight more than others,Some people need more food to function,Genetics,Environment,Who you surround yourself with,Your job could influence more food,Stress,Where you live,6,6,1,1,6,6,1,1,6,7,6,3,7,7,7,1,23,0,,Caucasian,6,2,2,3,2,2,2,2,2,5,6,5,Suppression
,,,,,,,,,,Some overweight people may have health issues,Some may have mental issues that affect their weight.,Some just love to eat,Some may have a bad image of themselves,,,,,,,6,6,2,2,6,6,2,2,6,6,5,5,5,5,3,3,64,1,,white non hispanic,4,4,2,4,2,2,2,2,2,5,6,2,Suppression
,,,,,,,,,,genetics,education,income level,access to healthy grocers,upbringing,no access to gyms,,,,,5,5,2,2,5,5,2,2,5,5,5,5,4,4,6,6,36,0,,white,6,2,4,6,4,4,4,5,5,4,4,5,Suppression
,,,,,,,,,,genetics,lack of access to nutritious food,poverty that results in lack of access to nutritional food,disability that makes exercise difficult,slow metabolism,,,,,,6,6,1,1,6,6,1,1,6,6,1,1,6,6,1,1,37,0,,white,1,5,1,4,1,1,1,3,1,3,3,3,Suppression
,,,,,,,,,,They don't care about their health,They don't care about their appearance,They don't know how to lose weight,They don't have the motivation to diet,They don't have the willpower to diet,They don't have the knowhow to diet properly,They don't have the motivation to exercise,They don't have the willpower to exercise,They don't have the knowhow to exercise properly,They are content with themselves as a fat person.,7,7,1,1,7,7,1,1,7,7,7,7,4,4,7,7,36,1,,White,2,6,5,7,5,5,5,2,6,6,6,1,Suppression
,,,,,,,,,,Stress,Food is delicious,Variety of food,Too many fattening options available,Genetics,Lack of time to exercise,Environment,Television,Lack of sleep,Holidays,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,29,1,,Caucasian,4,4,2,3,2,4,3,2,2,6,7,7,Suppression
,,,,,,,,,,health problems,cannot stop eating,love sweets,eat to feel beter,genetics,,,,,,6,6,3,1,6,6,2,2,5,4,6,3,5,3,6,6,70,1,,white,3,6,2,4,2,2,4,3,4,3,1,1,Suppression
,,,,,,,,,,Medical conditions,Genetics and/or hereditary factors,The types of foods eaten,,,,,,,,7,6,2,1,7,7,1,1,6,6,4,2,6,6,3,5,45,1,,Black (African-American),2,6,1,2,1,2,1,2,2,3,3,2,Suppression
,,,,,,,,,,genetic predisposition,poor diet while growing up,lack of time to exercise,poor understanding of nutrition,,,,,,,6,6,2,2,6,6,1,1,3,3,5,4,2,2,6,6,21,1,,White,4,4,7,7,4,7,7,6,7,4,5,4,Suppression
,,,,,,,,,,"They are not able to balance calories eaten with calories burned, leading to a weight gain.",They have medical issues which prevent exercise.,"They are not educated on which foods cause weight gain, such as sugar and bread.",They have hormonal imbalances that cause weight gain.,They are too busy working to find time to cook healthy meals and exercise.,They are unaware that they are eating unhealthy foods.,"They are unable to afford healthy foods, having to instead eat unhealthy processed foods which are cheaper.",,,,6,6,2,2,6,6,2,1,5,5,3,3,4,4,5,3,33,1,,white,2,6,1,1,1,1,1,1,1,5,3,5,Suppression
,,,,,,,,,,eat too much,genetics,environment,don't exercise enough,depression,just had a baby,heart problems,gland problems,family is this way,poor eating habits,6,6,1,1,6,6,1,1,6,6,5,5,6,6,4,4,38,1,,White,1,7,1,1,1,1,1,1,1,5,2,1,Suppression
,,,,,,,,,,Genetics,No access to healthy food,Healthy food is too expensive,No education about healthy food,Thyroid problems,Health problems affecting movement,No time to exercise,No knowledge about exercise,Not taught proper eating habits as a child,Fed unhealthy food by other people,6,6,2,1,6,7,1,1,6,7,2,2,6,6,6,2,38,0,,Caucasian,2,6,1,3,1,1,2,2,2,6,6,7,Suppression
,,,,,,,,,,Due to their genetics.,Due to their eating habits.,Due to not having enough exercise.,Due to being disabled.,Due to being too heavy to move.,Due to not being motivated.,Due to cultural norms.,Due to being pregnant.,Due to disease.,,7,7,7,2,7,7,1,2,7,7,7,3,7,7,6,1,41,0,,white,7,1,2,5,1,1,2,2,3,4,5,5,Suppression
,,,,,,,,,,Diabetes,Hormone Imbalance,Genetics,Medication,Food additives,Marketing,Availability,Sugar,Leptin,Information,7,6,3,2,7,7,2,1,6,6,5,4,6,5,6,4,33,1,,Caucasian,5,5,1,4,2,1,3,1,1,4,6,2,Suppression
,,,,,,,,,,Food is too fattening in general,Serving sizes are too big,Advertising encourages more consumption,Obesity is considered an illness,Genetics can sometimes be the cause of obesity,Healthy foods just aren't available everywhere,Sugar is an addictive substance,Heavily processed foods can cause obisty,Medical conditions contribute to obesity,The healthcare system doesn't treat obesity properly,6,6,3,2,6,6,2,2,5,4,5,5,5,5,5,5,46,1,,Caucasian,3,5,4,4,3,2,4,3,3,4,4,5,Suppression
,,,,,,,,,,GENETICS,ILLNESS,MEDICATIONS,DEPRESSION,ANXIETY,POOR UPBRINGING,LACK OF EDUCATION,POVERTY,LACK OF ACCESS TO HEALTHY FOODS,EATING DISORDER,6,6,2,2,6,6,2,2,3,3,6,6,2,2,6,6,28,0,,WHITE,3,5,4,6,2,2,6,5,5,6,6,6,Suppression
,,,,,,,,,,genetics,physical limitations,addiction,medical conditions,poor health,lack of knowledge on healthy eating,limited finances,mental health conditions,limited exercising resources,lack of independance,6,6,1,1,6,6,1,1,6,6,4,1,6,6,4,4,45,0,,caucasion,7,1,1,1,1,1,1,1,1,6,5,6,Suppression
,,,,,,,,,,Genetic,environment,bad food industry,illness,disability,,,,,,6,6,1,1,6,6,1,1,6,6,6,6,6,6,5,5,33,1,,Asian,2,5,2,5,1,6,5,2,2,6,5,6,Suppression
,,,,,,,,,,Improper diet.,Lack of exercise.,,,,,,,,,6,6,2,2,5,6,2,2,6,6,5,3,5,5,4,3,31,1,,white,2,6,4,4,4,3,3,3,3,6,6,6,Suppression
,,,,,,,,,,Hereditary,Depression,Unsatisfied with daily activities,Boredom,Feel like they can't change,Peer pressure,Illness,,,,5,5,3,3,2,2,2,2,5,5,4,4,6,6,6,6,30,1,,White,4,4,1,5,2,1,1,3,1,5,3,3,Suppression
,,,,,,,,,,over eating,genetics,bad eating habits,lack of exercise,depression,medication that causes weight gain,illiness that causes weight gain,,,,5,5,1,1,5,5,3,1,5,5,1,1,5,5,5,4,35,0,,blk,4,4,2,2,2,2,2,2,2,2,2,2,Suppression
,,,,,,,,,,Food is too high in fat content,food and drink contains too much sugar,Caloric count is not accurate on some foods,,,,,,,,5,4,5,5,5,4,5,4,4,3,4,4,5,3,3,5,34,1,,white,3,5,3,2,2,3,3,3,2,2,3,2,Suppression
,,,,,,,,,,Genetics,Stress,,,,,,,,,3,5,5,3,6,5,6,2,5,6,6,2,6,6,7,1,22,0,,Caucasian,2,6,1,1,1,2,2,1,1,6,7,6,Suppression
,,,,,,,,,,genetics,thyroid,poor,,,,,,,,6,6,5,3,6,6,3,2,6,6,6,3,6,6,6,2,35,1,,white,3,5,5,5,3,3,3,3,5,5,3,5,Suppression
,,,,,,,,,,They may have slow metabolism.,They may have thyroid problems.,Obesity could be a genetic problem. It could run in their family.,They may have a physical impairment which prevents them from being more active.,,,,,,,7,7,1,1,7,7,1,1,7,7,5,6,7,7,7,5,65,0,,White Non-Latino,6,2,1,6,1,1,1,1,2,2,6,1,Suppression
,,,,,,,,,,Mental Illness,Stress,Emotional Issues,Health/Disease Related,,,,,,,3,3,3,2,2,2,2,2,5,5,5,5,6,6,6,4,37,1,,White,6,2,1,1,1,1,1,1,1,3,2,2,Suppression
,,,,,,,,,,They thought the style.,They thought health condition.,They will Shy other people.  ,,,,,,,,7,6,6,3,6,7,7,5,6,7,4,4,7,5,5,4,27,1,,American Indian,5,4,2,4,6,5,4,7,5,6,5,6,Suppression
,,,,,,,,,, they over eat,in their genes,binge eating,to much sugar,to much fast food,,,,,,5,5,5,5,6,6,4,5,4,3,3,3,6,6,4,4,61,1,,american,3,4,1,6,2,1,1,1,1,4,3,1,Suppression
,,,,,,,,,,Being fat is a physical disability,Obesity is a disease that needs to be treated,There is a problem with the brain chemisty,There is a problem with hormones,Heredity plays a big role in obesity,Self control governed by many factors is a big part of obesity,,,,,5,5,1,1,6,6,1,1,6,6,6,2,6,6,6,2,61,0,,white,3,3,1,1,1,1,1,1,3,7,7,7,Suppression
,,,,,,,,,,Because of bad eating habits formed by parents ,Because of a medical issue,Because they were abused when they were young,,,,,,,,5,5,3,2,5,5,3,2,6,7,6,3,6,6,6,2,39,0,,African American,2,6,1,3,1,1,1,1,2,5,6,5,Suppression
,,,,,,,,,,Sickness,Hormone Imbalance,Taking medications that increase weight,Poor eating education,,,,,,,5,5,2,2,5,5,2,2,5,5,3,3,5,5,4,4,41,1,,Hispanic,4,5,2,3,2,2,2,2,2,5,3,3,Suppression
,,,,,,,,,,eating too many calories,not exercising enough,sedentary job,no free time,addiction to food,genetic predisposition to gaining weight,medicine side effects,loss of the ability to maintain previous level of activity (i.e. surgery),depression,bad nutrition leading to never feeling satiated,7,7,1,1,7,7,1,1,6,6,4,2,5,5,6,5,22,0,,Hispanic,3,4,1,1,1,1,1,1,1,7,7,7,Suppression
,,,,,,,,,,genetics,enviromental,,,,,,,,,6,6,1,1,5,5,1,1,5,5,7,7,6,6,7,7,31,0,,white,6,2,1,1,1,1,1,1,1,6,5,5,Suppression
,,,,,,,,,,Sometimes a person's metabolism is not as fast as it should be.,"Even when trying, a fat person's weight can be significantly harder to bring down than others' just because of how their body works differently.",People stay fat if they ever become fat because it becomes more difficult to move and lose the weight because of how heavy they are.,It is difficult to trust nutritional science as the science has been proven wrong on multiple occasions. This makes it more difficult to know why someone is getting fat and so some people become fat without knowing why.,There are mental eating disorders that are uncontrollable,Urges and addiction can come from the ingredients inside certain food that someone might not realize is the case until they get fat.,,,,,6,6,2,2,6,6,1,1,6,6,3,3,6,6,3,3,25,1,,African-American,2,5,1,7,1,1,1,1,2,1,1,1,Suppression
,,,,,,,,,,They have a medical condition,They have trouble following a diet,They have injuries that prevent them from exercising,They do not have access to healthy foods,They do not have ability to cook for themselves and rely on others,Depression,Stress,,,,6,6,5,2,6,6,2,2,7,7,7,2,6,6,6,3,30,1,,White,3,4,1,3,1,1,2,1,1,5,3,5,Suppression
,,,,,,,,,,genetics,body naturally that way,all people are beautiful,,,,,,,,6,7,6,5,5,7,6,5,5,7,6,5,6,5,5,7,40,0,,white,1,7,1,1,1,1,1,1,1,7,7,7,Suppression
,,,,,,,,,,Metabolic disorders,thyroid problems,being diabetic,having cancer,genetic,,,,,,4,3,5,4,6,4,5,5,6,5,5,6,4,2,5,5,34,1,,white,2,7,5,5,4,5,5,5,3,6,4,5,Suppression
,,,,,,,,,,i guess it's magical genetics,It's probably white privilege,They have figured out how to circumvent thermodynamics,Sleep eating,It's probably the fault of White males,Patriarchy,Diet soda magically makes you eat more,It's all a trick by the media and big pharma to sell diet pills,"Exercise is like, hard and stuff, who needs that?",Elves,7,7,1,1,7,7,1,1,1,1,7,7,1,1,7,7,40,1,,White,5,4,5,5,7,7,7,4,7,7,5,6,Suppression
,,,,,,,,,,household they grew up in,old habits,haven't been shown what healthy is,need more positive influence,lack of knowledge,"plain and simple, some don't want change",,,,,5,5,3,2,5,5,4,4,5,5,3,3,2,2,5,6,28,0,,white,3,4,3,2,3,3,2,3,3,3,4,5,Suppression
,,,,,,,,,,Eating food high in sugars and fats,Not enough exercise,Maybe a bit lazy,No time to exercise,Bad Habits,Addicted to eating (Addiction),,,,,6,6,5,5,3,2,2,1,6,6,6,5,6,6,7,5,39,1,,White,6,1,2,3,1,6,2,2,2,2,4,2,Suppression
,,,,,,,,,,Some people are fat because they eat the wrong foods for their body type.,Some people are fat because they lack exercise.,"Some people are fat, because their genes cause them to metabolize differently, and they don't do anything about it.","Some people are fat, because they never lost baby weight.",Some people are fat because medication helped to blow them up.,Some people are fat because their movement is restricted due to mobility issues.,Some people are fat because they are not educated about how to get rid of the weight they may already have.,"Some people are fat because they were fat as a child, and it just carried over.",Some people are fat because they may be addicted to sugar.,Some people are fat because they may have a medical condition which caused them to gain weight.,4,4,4,2,7,7,1,1,5,4,6,6,5,5,6,5,38,0,,Black,4,4,1,1,2,1,1,1,1,5,5,4,Suppression
,,,,,,,,,,parents fed them in properly,not informed about proper eating habbits,depression,decreased metabolism,,,,,,,5,4,3,4,5,5,3,1,6,7,4,2,7,7,4,4,21,1,,caucasian,5,4,1,5,1,4,3,4,4,1,5,4,Suppression
,,,,,,,,,,there are eating fat food,they did not excise,no physical activity,irregular eating times,people are eating more junk food,alcoholic beverages,beef and beef dishes,dairy deserts,chicken chicken dishes,soda and spots dishes,6,6,6,6,4,4,4,4,4,4,4,4,5,5,4,4,35,1,,asin,5,5,5,5,5,5,5,5,5,5,5,5,Suppression
,,,,,,,,,,They are inactive for various reasons,They have medical issues,Genetics,Lack of access to healthy foods,,,,,,,7,7,2,1,7,7,1,1,7,7,4,1,6,6,5,2,47,1,,White,5,3,6,6,6,5,6,5,6,5,6,5,Suppression
,,,,,,,,,,They are sad or depressed,Did not have access to proper nutrtion,No instruction or education on proper nutrition,Poor childhood role models,Physical disability,Socially awkward and uncormfortable,Lack of information on exercise,Lack of of space to excercise,Friends and partners have bad habits,Unfavorable genetics,6,6,2,1,6,6,1,1,6,6,5,3,5,4,6,4,41,0,,White,2,5,1,4,1,1,1,1,4,6,7,7,Suppression
,,,,,,,,,,Metabolism,Genetics,Thyroid issues,Nutritional imbalance,,,,,,,6,6,2,2,6,6,3,3,6,6,3,3,5,5,6,6,31,0,,Mixed (Asian/White),2,5,3,6,5,3,3,3,3,5,4,6,Suppression
,,,,,,,,,,over eating,not exercising,medicial problems,no self confidence,no motivation,no drive,depression,,,,6,6,6,6,4,4,3,1,7,7,7,7,7,7,6,6,28,0,,white,7,4,1,5,1,1,1,2,2,6,7,6,Suppression
,,,,,,,,,,advertisements make food seem healthy but they are not,cheaper foods are less healthy but more affordable,unhealthy food is more convienient,work can be too demanding thus causing people to have less time to exercise,parents were not aware of food addiction and unhealthy ,some health conditions can cause obesity,fat people may not really be fat but only fat in the eyes of this society,,,,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,33,0,,native american,7,1,1,3,2,1,1,1,2,6,6,6,Suppression
,,,,,,,,,,Slow metabolism ,Unable to eat healthier food due to allergies ,Unable to eat healthy food due to cost,Sleep apnea ,Unable to exercise due to disease ,Unable to exercise due to injury ,Unable to exercise due to time restraints ,Thyroid issues,Mental health issues ,Heredity ,3,3,1,1,5,5,1,1,5,5,6,6,5,5,5,5,47,0,,White,1,7,1,1,2,1,1,2,3,6,5,7,Suppression
,,,,,,,,,,slow metabolism,genetic predisposition to being overweight,medical condition,medications they're taking for other conditions that cause increase in body weight as a side-effect,mental illness that includes overeating as a symptom,hormonal changes that have led to weight gain,weight gain due to aging and associated changes,,,,6,6,1,1,6,6,1,1,5,5,1,1,6,6,2,2,46,1,,White/Hispanic,1,7,1,2,1,1,1,1,1,1,1,1,Suppression
,,,,,,,,,,genetics,poor diet,no healthy choices,sedentary job,health problems,Thyroid disease,Injury,Poverty,traditions,medication,5,6,3,3,5,6,2,1,6,6,6,3,6,6,6,5,45,1,,white,5,5,2,2,2,2,2,3,5,6,6,6,Suppression
,,,,,,,,,,Nutrition information isn't written on fast food packaging,people are given food to eat when they are young and are told to eat it. ,,,,,,,,,6,5,6,2,4,4,1,1,5,3,1,2,3,3,4,4,36,1,,HISPANIC,2,5,1,5,1,1,1,1,1,7,7,7,Suppression
,,,,,,,,,,Depression ,Genetics,Bad habits,Sedetary lifestyle,Adictions,Ignorance,Low self-stem,Hormonal problems,They love to eat,Ignorance about their health,1,2,4,4,1,4,1,1,6,6,6,6,5,5,6,6,24,1,,Hipanic ,2,6,1,2,1,1,1,1,1,5,7,5,Suppression
,,,,,,,,,,illness,severe stress,,,,,,,,,5,4,4,4,5,4,4,4,5,6,6,4,5,5,4,4,39,0,,white,5,2,2,4,1,4,5,2,1,4,4,4,Suppression
,,,,,,,,,,thyroid issues,mental problems,parent making them eat,,,,,,,,7,5,5,3,6,6,5,4,6,6,5,3,3,3,6,4,63,0,,white,4,4,1,2,2,1,1,1,1,6,7,5,Suppression
,,,,,,,,,,Poverty,Genetics,Availability of Healthy Food,Upbringing,Peer Pressure,Mental Health,Gym Proximity,Society,Lack of Time,Hormones,6,7,1,1,7,7,1,1,6,5,6,2,5,5,6,7,23,0,,White,2,6,1,3,1,1,1,1,1,7,7,7,Suppression
,,,,,,,,,,Wheelchair bound,Stress,Unable to excercise,Eating disorder,Anxiety,Depression,Diabetes,Chemotherapy,Medication side effect,Truck driving job,4,4,1,1,1,1,1,1,1,1,1,1,5,3,5,6,27,0,,Caucasian,3,4,1,3,1,2,1,1,2,3,1,4,Suppression
,,,,,,,,,,Diabetes,Genetics,Cancer,Diseases,,,,,,,2,3,1,1,5,4,1,1,5,5,4,1,5,6,4,3,23,0,,Caucasian,1,7,1,1,1,1,1,1,1,7,6,6,Suppression
,,,,,,,,,,They have a slow metabolism,They are unable to exercise the way they want,They do not have the money to eat the healthiest,They have a condition that causes weight gain,They have a condition that makes it impossible to loose weight.,,,,,,6,6,6,2,7,7,2,2,6,7,4,4,6,6,6,6,31,0,,Caucasian,4,4,1,1,1,1,1,1,1,4,5,2,Suppression
,,,,,,,,,,Hormonal imbalance,Suffering from a disease that causes weight gain,Taking medication that causes weight gain,Excessive stress,,,,,,,7,6,3,2,6,6,2,2,6,6,7,3,6,5,7,3,33,0,,Asian-American,4,4,5,6,5,2,3,3,2,7,7,5,Suppression
,,,,,,,,,,Genetics have a role in body types.,Some medications cause weight gain.,Some people don't have access to resources to help them lose weight.,Culture plays into how we eat and treat our bodies.,"Work takes up the majority of peoples' days, especially if they have more than one job.",It's easy to lose track of exercise regimens.,Families can inadvertently prohibit exercise.,Having children can make the quality of food consumed lower.,Long commutes to and from work can be tiring.,People are too tired to workout after being at work all day.,6,6,2,2,6,6,2,2,6,6,6,6,6,6,6,6,23,0,,White,2,7,1,2,1,1,1,1,1,6,5,6,Suppression
,,,,,,,,,,parents are fat,cultural foods that are fat creating,cultural view of beauty,hormones,,,,,,,5,5,2,2,6,6,2,2,6,6,3,3,5,5,2,2,65,1,,white/european,3,7,5,5,2,2,5,5,6,7,7,6,Suppression
,,,,,,,,,,Genetics,No time to follow diet plan or get exercise ,They try but simply aren’t able to lose the weight.,Medical conditions make it difficult to exercise.,Lack of sleep,Hormonal imbalances from medical conditions,Side effects of medications ,Poverty where they can afford quick low cost fast food,Stress/depression/anxiety that is not in their control,Traumatic life changes ,5,5,1,1,6,6,1,1,6,6,5,3,6,6,6,3,35,0,,South Asian,2,6,1,5,1,1,1,1,1,6,6,7,Suppression
,,,,,,,,,,They consume too many calories,The burn too few calories,They are genetically predisposed to some condition,,,,,,,,5,5,3,3,5,5,2,2,5,5,4,4,6,6,4,4,46,1,,white,6,3,2,2,2,2,2,2,3,5,3,3,Suppression
,,,,,,,,,,hereditary,diseases or medications that might cause weight gain,injury that prevents the person from exercising or burning calories,lack of funds to buy healthy food,crazy schedule that does not allow time for cooking healthy meals or exercising,,,,,,6,6,2,2,6,6,2,2,6,6,4,4,6,6,6,4,36,0,,white,1,7,2,3,2,2,2,2,2,2,2,2,Suppression
,,,,,,,,,,they were born so,they got genes making them fat,poor eating habits,lack of exercise,,,,,,,6,6,6,6,3,3,6,6,5,5,5,5,6,6,6,6,30,0,,Black,3,3,5,6,3,7,5,2,3,4,6,6,Suppression
,,,,,,,,,,Their ADN is the problem ,,,,,,,,,,6,6,4,4,5,5,5,5,3,3,5,6,5,5,5,4,28,0,,White ,5,3,4,4,5,4,3,3,5,4,5,4,Suppression
,,,,,,,,,,Medical condition,hereditary ,lives in food desert,lack of knowledge ,lack of money,,,,,,5,5,1,1,6,6,1,1,6,6,6,3,6,6,6,2,31,0,,white,2,6,1,1,1,1,1,1,1,7,7,6,Suppression
,,,,,,,,,,Not knowing the calorie content of the food eaten,Having limited options due to poverty or disabilities,Living a busy lifestyle that limits access to healthy foods,Genetic predisposition to being overweight ,Difficulty losing weight due to a health issue such as PCOS,Living in a high stress environment,High sugar content in most available foods,Consuming calories through sugary drinks,Working a sedentary office job,Poor knowledge of nutrition ,5,5,1,1,5,5,1,1,6,6,6,6,6,6,6,4,25,0,,White,2,6,1,2,1,1,1,1,1,6,7,7,Suppression
,,,,,,,,,,genetics,diet,diseases,,,,,,,,5,5,1,1,1,1,1,1,5,5,4,4,6,6,6,3,58,0,,caucasian,1,7,1,1,1,1,1,1,1,4,3,5,Suppression
,,,,,,,,,,Thyroid problems,stress,disability,,,,,,,,4,4,3,2,2,2,1,1,4,4,2,2,6,6,5,3,39,0,,white,1,7,1,1,1,1,1,1,1,5,2,4,Suppression
,,,,,,,,,,Slow metabolism,High fat diets,Underactive thyroid,Sedentary lifestyle,Genetic predisposition,Immobility,Poor diet,Not enough exercise,Too much sugar intake,Other health problems,6,6,2,2,7,7,2,2,2,2,6,7,4,4,6,7,26,0,,Caucasian,6,1,2,4,1,1,1,2,3,6,4,6,Suppression
,,,,,,,,,,Eating more calories than the body can burn,not being physically active enough to burn the calories they eat,genetic predisposition to obesity,,,,,,,,4,4,4,2,6,5,2,2,5,4,6,5,5,5,5,4,47,1,,white,4,4,3,4,2,2,2,5,2,5,2,2,Suppression
,,,,,,,,,,Fat people have trouble finding clothes,Fat people are subject to more disease,,,,,,,,,5,5,1,1,5,5,2,1,5,5,5,5,6,6,5,5,66,1,,white,7,1,2,5,2,3,2,5,6,5,7,6,Suppression
,,,,,,,,,,Lazy,Genes,Overindulgence ,Lack of motivation,Poor eating habits,Bad diet,,,,,6,6,6,3,6,6,7,3,6,6,6,5,6,6,6,3,26,1,,White,5,3,3,6,2,1,4,5,5,6,7,7,Suppression
,,,,,,,,,,their genes have this problem ,,,,,,,,,,5,5,4,4,4,4,3,4,3,3,6,6,6,6,4,4,65,1,,White ,5,3,4,3,5,4,4,3,5,4,5,4,Suppression
,,,,,,,,,,glandular problems,"busy, so no time for exercise",healthy food is expensive,might be used to a lifestyle,could be a minor that eats what parents provide,an injury prevents exercise,,,,,6,6,1,1,6,6,2,2,6,6,3,3,5,5,2,2,36,1,,caucasian,3,5,1,3,1,1,1,1,1,5,2,5,Suppression
